ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"213.165.160.251","elite","AS12709","MT","Melita plc","84","Melita plc","5678","socks4","1997","2","2023-10-10T02:35:01.042Z","100","4196","4200"
"202.159.19.213","elite","AS9340","ID","PT IndoInternet","216","N/A","443","socks4","1807","1","2023-10-10T02:35:01.041Z","100","4283","4290"
"43.250.81.154","elite","AS58689","BD","ICC Communication","191","N/A","34432","socks4","4996","1","2023-10-10T02:35:01.040Z","77","3313","4326"
"104.27.15.161","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4911","1","2023-10-10T02:34:58.236Z","100","4192","4192"
"82.115.21.188","elite","AS212552","DE","BitCommand","97","BitCommand LLC","1080","socks5","4813","1","2023-10-10T02:34:58.255Z","83","3501","4204"
"118.174.209.124","elite","AS23969","TH","TOT Public Company Limited","198","TOT Public Company Limited","4145","socks4","4697","1","2023-10-10T02:34:58.237Z","50","2131","4224"
"167.172.178.242","elite","AS14061","DE","DigitalOcean, LLC","20","DigitalOcean, LLC","7497","socks5","3014","1","2023-10-10T02:34:58.253Z","92","3946","4295"
"203.24.102.74","elite","AS209242","VG","Cloudflare London, LLC","12","Anaga Consulting Limited","80","socks4","5096","1","2023-10-10T02:34:58.240Z","100","4293","4295"
"190.14.155.198","elite","AS52356","CR","R&H Telecom - Red WLAN","147","R&H Telecom - VOCEX","5678","socks4","5014","1","2023-10-10T02:34:58.234Z","26","1125","4251"
"103.131.18.105","elite","AS138089","ID","PT Global Media Data Prima","200","N/A","1080","socks4","4010","1","2023-10-10T02:34:55.340Z","20","857","4255"
"200.218.240.9","elite","AS28594","BR","All Net Informatica Ltda","196","All Net Informatica Ltda","5678","socks4","4293","1","2023-10-10T02:34:55.339Z","96","4060","4233"
"187.73.55.66","elite","AS262668","BR","Mar Provedor de Internet Ltda","192","Mar Provedor de Internet Ltda","5678","socks4","4699","83","2023-10-10T02:34:55.337Z","77","3250","4210"
"104.16.106.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5001","1","2023-10-10T02:34:55.342Z","100","4344","4345"
"104.16.109.207","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4700","1","2023-10-10T02:34:55.343Z","100","4221","4221"
"101.51.105.154","elite","AS23969","TH","TOT Public Company Limited","198","TOT Public Company Limited","4145","socks4","2106","1","2023-10-10T02:34:55.444Z","54","2370","4356"
"110.77.232.174","elite","AS131090","TH","CAT Telecom Public Company Limited","198","CAT BBviaOnnet","4145","socks4","4994","1","2023-10-10T02:34:55.346Z","81","3397","4195"
"36.95.53.185","elite","AS7713","ID","PT. Telekomunikasi Indonesia","297","Telekomunikasi Indonesia","5678","socks4","2616","1","2023-10-10T02:34:55.341Z","100","4203","4205"
"91.240.63.215","elite","AS57474","IR","Nazhin Sepahan IT and data processing plc","187","Nazhin Sepahan IT and data processing plc","5678","socks4","4399","2","2023-10-10T02:34:55.347Z","38","1619","4305"
"111.68.31.130","elite","AS55666","ID","PT Media Sarana Data","189","Gmedia ID Yogyakarta","3128","socks5","4796","1","2023-10-10T02:34:52.038Z","100","4149","4169"
"202.159.107.137","elite","AS9340","ID","PT IndoInternet","198","N/A","443","socks4","5103","1","2023-10-10T02:34:52.039Z","100","4234","4240"
"185.161.186.82","elite","AS43618","ES","Inforcelra SLU","99","Inforcelra SLU","54321","socks4","5005","1","2023-10-10T02:34:52.041Z","100","4335","4339"
"45.196.148.117","elite","AS7018","US","AT&T Services, Inc.","88","AQUA Networks Limited","5432","socks4","4999","1","2023-10-10T02:34:49.146Z","98","4130","4209"
"177.125.206.157","elite","AS262346","BR","FP Telecomunicacoes Ltda","208","FP Telecomunicacoes Ltda","4145","socks4","5093","1","2023-10-10T02:34:49.140Z","80","3299","4142"
"104.16.224.33","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4402","1","2023-10-10T02:34:49.144Z","100","4326","4329"
"45.125.222.125","elite","AS63526","BD","Carnival Internet","198","N/A","47239","socks4","4811","1","2023-10-10T02:34:49.141Z","100","4260","4281"
"194.12.124.188","elite","AS35816","UA","Lancom Ltd.","96","Scientific-Industrial Enterprise \"Myst\" LLC","3629","socks4","3095","1","2023-10-10T02:34:49.147Z","99","4066","4111"
"180.178.189.38","elite","AS9387","PK","Orient Express LDI Limited","189","Telecom Services","8080","socks4","4801","1","2023-10-10T02:34:49.143Z","92","4010","4343"
"115.160.160.38","elite","AS9381","HK","HKBN Enterprise Solutions HK Limited","191","HKBNES","3128","socks4","4599","1","2023-10-10T02:34:47.036Z","100","4295","4307"
"185.208.172.27","elite","AS202269","DE","BitCommand","18","BitCommand LLC","10204","socks4","5091","1","2023-10-10T02:34:47.134Z","49","2084","4244"
"38.127.179.126","elite","AS174","US","Cogent Communications","100","Torlandia Trading SRL","46656","socks5","4206","2","2023-10-10T02:34:47.135Z","100","4238","4242"
"181.113.34.86","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","172","Corporacion Nacional De Telecomunicaciones - CNT EP","48024","socks4","4799","1","2023-10-10T02:34:47.034Z","84","3529","4181"
"46.227.37.185","elite","AS51155","PL","Telemedian - TB Telecom","83","Telemedian","1088","socks4","4605","1","2023-10-10T02:34:47.136Z","100","4225","4239"
"62.112.10.227","elite","AS49981","NL","WorldStream B.V.","15","Worldstream","30105","socks4","5008","1","2023-10-10T02:34:46.947Z","68","2869","4240"
"89.132.207.82","elite","AS21334","HU","Vodafone Hungary Ltd.","30","Vodafone Hungary Ltd","4145","socks4","4503","1","2023-10-10T02:34:46.951Z","100","4240","4250"
"43.153.177.61","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","258","Tencent Cloud Computing","13220","socks4","5292","1","2023-10-10T02:34:46.946Z","93","3990","4280"
"197.234.13.47","elite","AS36902","SC","Intelvision","164","Intelvision Ltd","4145","socks4","4991","1","2023-10-10T02:34:44.639Z","100","4222","4237"
"104.16.106.65","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4612","1","2023-10-10T02:34:44.643Z","100","4222","4222"
"43.154.49.67","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","305","Tencent Cloud Computing","9999","socks5","4997","1","2023-10-10T02:34:44.638Z","99","4143","4171"
"103.84.134.9","elite","AS136238","MV","SatLink Pvt Ltd","188","SatLink Pvt Ltd","1080","socks4","4602","84","2023-10-10T02:34:44.640Z","99","4269","4293"
"109.122.88.194","elite","AS41937","RS","RADIJUS VEKTOR Internet network","83","N/A","5678","socks4","4984","1","2023-10-10T02:34:42.044Z","99","4304","4342"
"38.127.179.211","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks4","5092","1","2023-10-10T02:34:42.043Z","100","4235","4240"
"51.83.35.125","elite","AS16276","FR","OVH SAS","8","OVH","13493","socks5","4799","1","2023-10-10T02:34:42.041Z","100","4267","4275"
"103.47.93.205","elite","AS134058","IN","Broban Internet Services Pvt.ltd","199","Broban  PVT Ltd.","1080","socks4","4703","1","2023-10-10T02:34:41.948Z","99","4305","4331"
"61.7.184.216","elite","AS131090","TH","CAT Telecom Public Company Limited","278","National Telecom Public Company Limited","4153","socks4","487","1","2023-10-10T02:34:41.944Z","71","3037","4274"
"186.201.31.189","elite","AS10429","BR","Vivo","205","TELEF�NICA BRASIL S.A","4145","socks4","4591","1","2023-10-10T02:34:41.943Z","98","4183","4266"
"189.89.209.132","elite","AS28187","BR","Stratus Telecomunicacoes Ltda","205","Stratus Telecomunicacoes Ltda","80","socks5","5105","1","2023-10-10T02:34:41.949Z","76","3263","4319"
"45.8.107.79","elite","AS209242","DE","Cloudflare London, LLC","11","Araxio Development N.V","80","socks4","4801","2","2023-10-10T02:34:38.343Z","100","4233","4234"
"196.15.237.171","elite","AS5713","ZA","Telkom SA Ltd.","289","Telkom SA Ltd","1888","socks4","4394","1","2023-10-10T02:34:38.346Z","90","3814","4224"
"36.90.50.9","elite","AS7713","ID","PT. Telekomunikasi Indonesia","287","Telekomunikasi Indonesia","5678","socks4","4499","82","2023-10-10T02:34:38.433Z","76","3179","4190"
"140.83.52.194","elite","AS31898","JP","Oracle Corporation","261","Oracle Cloud Infrastructure (ap-osaka-1)","31898","socks5","4194","1","2023-10-10T02:34:38.435Z","83","3489","4221"
"103.94.8.239","elite","AS45722","ID","INTERSATNET","293","N/A","5678","socks4","4596","1","2023-10-10T02:34:38.342Z","98","4272","4341"
"173.212.206.86","elite","AS51167","DE","Contabo GmbH","95","Contabo GmbH","55405","socks5","4897","1","2023-10-10T02:34:38.635Z","100","4145","4150"
"187.95.82.109","elite","AS262696","BR","Turbonet Telecomunicações","193","Turbonet Telecomunicações","3629","socks4","4989","1","2023-10-10T02:34:35.742Z","99","4289","4315"
"194.8.47.6","elite","AS35723","RU","Transport Telecom Company Ltd","99","Transport Telecom Company Ltd","8080","socks4","997","1","2023-10-10T02:34:35.834Z","99","4156","4186"
"185.39.71.197","elite","AS62332","ES","Telplay","64","Telplay SL","46610","socks4","5203","83","2023-10-10T02:34:35.745Z","89","3754","4207"
"103.10.99.110","elite","AS18103","ID","Neuviz","299","N/A","5678","socks4","4484","1","2023-10-10T02:34:35.741Z","96","4170","4323"
"14.34.137.10","elite","AS4766","KR","Korea Telecom","291","Kornet","3128","socks4","4294","1","2023-10-10T02:34:35.836Z","100","4270","4275"
"222.78.194.188","elite","AS4134","CN","Chinanet","240","Nanping Telecom FJ","53309","socks4","4791","82","2023-10-10T02:34:35.743Z","67","2825","4191"
"65.21.131.83","elite","AS24940","FI","Hetzner Online GmbH","92","Hetzner","14141","socks5","4592","1","2023-10-10T02:34:35.849Z","100","4194","4195"
"45.234.61.157","elite","AS266766","VE","SOLUCIONES INSTALRED CH&C C.A.","176","SOLUCIONES INSTALRED CH&C C.A","4153","socks4","306","1","2023-10-10T02:34:32.843Z","98","4205","4305"
"202.124.46.97","elite","AS9902","KH","NeocomISP Limited","279","NeocomISP Limited","4145","socks4","5008","1","2023-10-10T02:34:32.839Z","99","4233","4259"
"20.205.109.189","elite","AS8075","HK","Microsoft Corporation","175","Microsoft Azure Cloud (eastasia)","3128","socks4","2393","1","2023-10-10T02:34:32.844Z","100","4223","4224"
"103.234.128.70","elite","AS9929","CN","China Telecom (Group)","200","Global ICT Solutions (ShangHai) CO., LTD","38157","socks4","5009","1","2023-10-10T02:34:32.842Z","84","3593","4258"
"123.235.134.21","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","191","N/A","44844","socks4","4988","1","2023-10-10T02:34:30.041Z","85","3622","4271"
"171.100.23.244","elite","AS17552","TH","True Internet Corporation CO. Ltd.","241","Truenet CM","5678","socks4","4995","1","2023-10-10T02:34:30.037Z","66","2787","4217"
"83.228.47.75","elite","AS8866","BG","BTC-BROADBAND","69","Bulgarian Telecommunications Company Plc.","2086","socks5","4700","1","2023-10-10T02:34:30.141Z","99","4174","4196"
"202.58.199.204","elite","AS45701","ID","Internet Madju Abad Millenindo, PT","696","Millenindo","5678","socks5","5105","1","2023-10-10T02:34:30.035Z","98","4155","4257"
"198.98.49.82","elite","AS53667","US","FranTech Solutions","81","FranTech Solutions","443","socks5","5003","1","2023-10-10T02:34:30.142Z","100","4180","4186"
"172.64.207.185","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2198","1","2023-10-10T02:34:30.033Z","100","4170","4170"
"151.80.33.46","elite","AS16276","FR","OVH SAS","6","OVH SAS","7497","socks5","3485","1","2023-10-10T02:34:27.233Z","100","4263","4263"
"179.191.23.38","elite","AS52565","BR","Edgar Rodrigues Romao Filho ME","194","Edgar Rodrigues Romao Filho ME","5678","socks4","5012","1","2023-10-10T02:34:27.047Z","100","4226","4247"
"205.185.119.188","elite","AS53667","US","FranTech Solutions","134","FranTech Solutions","5555","socks5","4413","1","2023-10-10T02:34:27.042Z","75","3207","4272"
"41.90.242.102","elite","AS33771","KE","Safaricom Limited","202","Safaricom Limited","5678","socks5","4899","1","2023-10-10T02:34:27.045Z","98","4166","4231"
"103.229.85.209","elite","AS133443","BD","Ashfakur Rahman Chowdhury","174","N/A","4145","socks4","4502","1","2023-10-10T02:34:27.044Z","99","4190","4242"
"202.165.46.14","elite","AS17538","ID","Circlecom","198","N/A","5678","socks4","927","1","2023-10-10T02:34:24.433Z","100","4293","4311"
"139.59.99.83","elite","AS14061","SG","DIGITALOCEAN","188","DigitalOcean, LLC","80","socks5","4697","1","2023-10-10T02:34:24.435Z","100","4199","4205"
"212.50.78.202","elite","AS34754","BG","Telnet Limited Liaskovec","81","N/A","5678","socks4","3286","1","2023-10-10T02:34:24.449Z","100","4221","4226"
"43.153.90.161","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","4885","1","2023-10-10T02:34:24.350Z","83","3492","4226"
"45.115.115.145","elite","AS55828","BD","Drik ICT Ltd","163","Drik ICT Ltd","31141","socks4","5004","1","2023-10-10T02:34:24.346Z","97","4176","4325"
"195.201.147.185","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","1080","socks4","4697","1","2023-10-10T02:34:24.349Z","100","4268","4287"
"36.89.135.207","elite","AS7713","ID","PT. Telekomunikasi Indonesia","301","Telekomunikasi Indonesia","5678","socks4","5084","1","2023-10-10T02:34:24.434Z","52","2248","4284"
"197.245.155.96","elite","AS11845","ZA","Vox Telecom Ltd","175","Vox Telecom","8080","socks4","3915","1","2023-10-10T02:34:21.835Z","93","3935","4244"
"151.84.98.89","elite","AS1267","IT","INFOSTRADA","49","WIND Telecomunicazioni S.p.A","4153","socks4","5199","1","2023-10-10T02:34:21.847Z","99","4224","4250"
"43.134.237.114","elite","AS132203","SG","Aceville Pte.ltd","391","N/A","26322","socks4","93","1","2023-10-10T02:34:21.836Z","76","3279","4294"
"203.99.57.145","elite","AS23674","PK","Nayatel (Pvt) Ltd","166","Micronet","5678","socks4","4899","1","2023-10-10T02:34:21.749Z","100","4245","4253"
"79.127.127.7","elite","AS43754","IR","Asiatech Data Transmission company","95","Asiatech Data Transmission company","1369","socks4","5000","1","2023-10-10T02:34:19.236Z","92","3971","4302"
"159.223.117.140","elite","AS14061","US","DigitalOcean, LLC","96","DigitalOcean, LLC","24006","socks5","5093","1","2023-10-10T02:34:19.149Z","81","3425","4235"
"201.76.9.26","elite","AS28642","BR","Contato Internet EIRELI","208","Contato Internet EIRELI","4145","socks4","3603","1","2023-10-10T02:34:19.150Z","100","4272","4293"
"149.202.27.17","elite","AS16276","FR","OVH SAS","83","Vova Kuchkovskiy","16379","socks4","4793","1","2023-10-10T02:34:19.248Z","99","4306","4338"
